Ctg.0,Ctg.1,Ctg.2,# @ ctg.0,# @ ctg.1,# @ ctg.2,Ctg.0 en,Ctg.1 en,Ctg.2 en
居家百货,纸品/湿巾,湿巾,2098759,540913,1888,Toiletries,Paper / wipes,Wipes
居家百货,纸品/湿巾,家用防油贴纸,2098759,540913,451,Toiletries,Paper / wipes,Household oil sticker
居家百货,纸品/湿巾,厨房纸巾,2098759,540913,137,Toiletries,Paper / wipes,Kitchen towel
居家百货,纸品/湿巾,其他,2098759,540913,117,Toiletries,Paper / wipes,other
居家百货,纸品/湿巾,平板卫生纸,2098759,540913,32,Toiletries,Paper / wipes,Tablet toilet paper
居家百货,纸品/湿巾,吸油纸/膜,2098759,540913,1,Toiletries,Paper / wipes,Absorbing paper / film
居家百货,收纳/整理/晾晒,衣架,2098759,459070,239487,Toiletries,Storage / finishing / drying,hanger
居家百货,收纳/整理/晾晒,收纳箱,2098759,459070,94798,Toiletries,Storage / finishing / drying,Storage Box
居家百货,收纳/整理/晾晒,收纳柜,2098759,459070,31507,Toiletries,Storage / finishing / drying,storage box
居家百货,收纳/整理/晾晒,晒衣架,2098759,459070,26890,Toiletries,Storage / finishing / drying,Clotheshorse
居家百货,收纳/整理/晾晒,收纳袋,2098759,459070,24837,Toiletries,Storage / finishing / drying,Pouch
居家百货,收纳/整理/晾晒,收纳盒,2098759,459070,9504,Toiletries,Storage / finishing / drying,Storage Box
居家百货,收纳/整理/晾晒,收纳篮,2098759,459070,6278,Toiletries,Storage / finishing / drying,Storage basket
居家百货,收纳/整理/晾晒,挂钩/粘钩,2098759,459070,5638,Toiletries,Storage / finishing / drying,Hook / sticky hook
居家百货,收纳/整理/晾晒,整理架/置物架/收纳架,2098759,459070,3944,Toiletries,Storage / finishing / drying,Finishing rack / shelving / storage rack
居家百货,收纳/整理/晾晒,收纳架,2098759,459070,3014,Toiletries,Storage / finishing / drying,Storage rack
居家百货,收纳/整理/晾晒,裤架,2098759,459070,2573,Toiletries,Storage / finishing / drying,Pants rack
居家百货,收纳/整理/晾晒,夹子/收纳夹子,2098759,459070,1903,Toiletries,Storage / finishing / drying,The clip / housing clip
居家百货,收纳/整理/晾晒,收纳包,2098759,459070,1617,Toiletries,Storage / finishing / drying,Admission package
居家百货,收纳/整理/晾晒,毛球修剪器,2098759,459070,1409,Toiletries,Storage / finishing / drying,Lint Remover
居家百货,收纳/整理/晾晒,置地升降晾晒衣架,2098759,459070,997,Toiletries,Storage / finishing / drying,Landmark lift drying racks
居家百货,收纳/整理/晾晒,医药箱,2098759,459070,947,Toiletries,Storage / finishing / drying,Medicine chest
居家百货,收纳/整理/晾晒,护洗袋,2098759,459070,607,Toiletries,Storage / finishing / drying,Care wash bags
居家百货,收纳/整理/晾晒,衣帽架,2098759,459070,607,Toiletries,Storage / finishing / drying,Coat Rack
居家百货,收纳/整理/晾晒,收纳凳,2098759,459070,388,Toiletries,Storage / finishing / drying,Stool
居家百货,收纳/整理/晾晒,晒衣篮,2098759,459070,386,Toiletries,Storage / finishing / drying,Drying clothes basket
居家百货,收纳/整理/晾晒,收纳套,2098759,459070,345,Toiletries,Storage / finishing / drying,Storage sets
居家百货,收纳/整理/晾晒,收纳罐,2098759,459070,337,Toiletries,Storage / finishing / drying,Storage tank
居家百货,收纳/整理/晾晒,收纳桶,2098759,459070,239,Toiletries,Storage / finishing / drying,Storage barrels
居家百货,收纳/整理/晾晒,衣物除尘滚/粘毛滚,2098759,459070,187,Toiletries,Storage / finishing / drying,Clothing dust roll / sticky hair roll
居家百货,收纳/整理/晾晒,绳子,2098759,459070,171,Toiletries,Storage / finishing / drying,rope
居家百货,收纳/整理/晾晒,晾衣杆,2098759,459070,96,Toiletries,Storage / finishing / drying,Washing Pole
居家百货,收纳/整理/晾晒,搓衣板,2098759,459070,93,Toiletries,Storage / finishing / drying,Washboard
居家百货,收纳/整理/晾晒,桌脚垫,2098759,459070,49,Toiletries,Storage / finishing / drying,Table mats
居家百货,收纳/整理/晾晒,整理隔板,2098759,459070,46,Toiletries,Storage / finishing / drying,Finishing partition
居家百货,收纳/整理/晾晒,领带架,2098759,459070,36,Toiletries,Storage / finishing / drying,Tie rack
居家百货,收纳/整理/晾晒,鞋罩/鞋袋/鞋盒,2098759,459070,34,Toiletries,Storage / finishing / drying,Gaiters / shoe / shoe
居家百货,收纳/整理/晾晒,理线器/集线器/绕线器,2098759,459070,30,Toiletries,Storage / finishing / drying,Organizer / hub / Winder
居家百货,收纳/整理/晾晒,收纳瓶,2098759,459070,30,Toiletries,Storage / finishing / drying,Storage Bottles
居家百货,收纳/整理/晾晒,抽气泵,2098759,459070,21,Toiletries,Storage / finishing / drying,Suction pump
居家百货,收纳/整理/晾晒,除尘刷,2098759,459070,14,Toiletries,Storage / finishing / drying,Dusting brush
居家百货,收纳/整理/晾晒,烫衣板,2098759,459070,12,Toiletries,Storage / finishing / drying,ironing board
居家百货,收纳/整理/晾晒,双面粘物器,2098759,459070,2,Toiletries,Storage / finishing / drying,Duplex filter adherend
居家百货,收纳/整理/晾晒,叠衣板,2098759,459070,1,Toiletries,Storage / finishing / drying,Clothing plate stack
居家百货,衣物清洁剂/护理剂,洗衣液,2098759,217456,194606,Toiletries,Laundry detergent / care agents,Laundry detergent
居家百货,衣物清洁剂/护理剂,洗衣皂,2098759,217456,9194,Toiletries,Laundry detergent / care agents,Laundry soap
居家百货,衣物清洁剂/护理剂,其他,2098759,217456,6602,Toiletries,Laundry detergent / care agents,other
居家百货,衣物清洁剂/护理剂,洗衣粉,2098759,217456,6339,Toiletries,Laundry detergent / care agents,washing powder
居家百货,衣物清洁剂/护理剂,衣物柔顺剂,2098759,217456,200,Toiletries,Laundry detergent / care agents,Fabric Softener
居家百货,衣物清洁剂/护理剂,吸色片,2098759,217456,194,Toiletries,Laundry detergent / care agents,Sheet exhaustion
居家百货,衣物清洁剂/护理剂,漂白剂,2098759,217456,159,Toiletries,Laundry detergent / care agents,bleach
居家百货,衣物清洁剂/护理剂,彩漂,2098759,217456,115,Toiletries,Laundry detergent / care agents,Bleach
居家百货,衣物清洁剂/护理剂,衣领净,2098759,217456,43,Toiletries,Laundry detergent / care agents,Net collar
居家百货,衣物清洁剂/护理剂,干洗剂,2098759,217456,5,Toiletries,Laundry detergent / care agents,PCE
居家百货,餐饮具,塑杯,2098759,102920,45056,Toiletries,Tableware,Plastic cups
居家百货,餐饮具,玻璃杯,2098759,102920,16368,Toiletries,Tableware,glass
居家百货,餐饮具,吸管杯,2098759,102920,13098,Toiletries,Tableware,Suction cup
居家百货,餐饮具,筷子,2098759,102920,6755,Toiletries,Tableware,chopsticks
居家百货,餐饮具,保温杯/壶,2098759,102920,5320,Toiletries,Tableware,Mug / pot
居家百货,餐饮具,碗,2098759,102920,2346,Toiletries,Tableware,bowl
居家百货,餐饮具,保鲜盒,2098759,102920,2285,Toiletries,Tableware,Crisper
居家百货,餐饮具,随手杯/热水瓶,2098759,102920,1907,Toiletries,Tableware,Readily Cup / thermos
居家百货,餐饮具,饭盒/保温桶/保温提锅,2098759,102920,1761,Toiletries,Tableware,Boxes / cooler / heat to the pot
居家百货,餐饮具,果盘,2098759,102920,1357,Toiletries,Tableware,fruit dish
居家百货,餐饮具,叉子,2098759,102920,1062,Toiletries,Tableware,fork
居家百货,餐饮具,保鲜膜,2098759,102920,739,Toiletries,Tableware,plastic wrap
居家百货,餐饮具,太空杯,2098759,102920,684,Toiletries,Tableware,Space Cup
居家百货,餐饮具,勺子,2098759,102920,625,Toiletries,Tableware,Spoon
居家百货,餐饮具,冷水壶,2098759,102920,544,Toiletries,Tableware,Cold water bottles
居家百货,餐饮具,叉勺筷套装,2098759,102920,363,Toiletries,Tableware,Fork spoon chopsticks suit
居家百货,餐饮具,保鲜袋,2098759,102920,304,Toiletries,Tableware,Storage bags
居家百货,餐饮具,防漏/密封杯,2098759,102920,301,Toiletries,Tableware,Leakproof / seal cup
居家百货,餐饮具,餐具瓷器套装,2098759,102920,294,Toiletries,Tableware,Porcelain tableware suit
居家百货,餐饮具,杯垫,2098759,102920,256,Toiletries,Tableware,Coasters
居家百货,餐饮具,一次性餐饮用品,2098759,102920,213,Toiletries,Tableware,Disposable catering supplies
居家百货,餐饮具,茶具套装,2098759,102920,208,Toiletries,Tableware,Tea Set
居家百货,餐饮具,马克杯,2098759,102920,198,Toiletries,Tableware,Mug
居家百货,餐饮具,便携/折叠餐具,2098759,102920,158,Toiletries,Tableware,Portable / folding cutlery
居家百货,餐饮具,牛奶杯,2098759,102920,119,Toiletries,Tableware,Milk Cup
居家百货,餐饮具,吸管,2098759,102920,108,Toiletries,Tableware,straw
居家百货,餐饮具,保鲜盖,2098759,102920,80,Toiletries,Tableware,Lids
居家百货,餐饮具,环保餐具,2098759,102920,77,Toiletries,Tableware,Tableware
居家百货,餐饮具,摇摇杯,2098759,102920,74,Toiletries,Tableware,Shaker
居家百货,餐饮具,运动壶/旅行壶,2098759,102920,67,Toiletries,Tableware,Sports Bottle / travel pot
居家百货,餐饮具,柠檬杯,2098759,102920,33,Toiletries,Tableware,Lemon Cup
居家百货,餐饮具,冰桶,2098759,102920,30,Toiletries,Tableware,Ice Bucket
居家百货,餐饮具,开瓶器,2098759,102920,26,Toiletries,Tableware,Opener
居家百货,餐饮具,咖啡杯,2098759,102920,26,Toiletries,Tableware,Coffee mugs
居家百货,餐饮具,茶道/零配,2098759,102920,26,Toiletries,Tableware,Tea / with zero
居家百货,餐饮具,杯盖,2098759,102920,25,Toiletries,Tableware,Lid
居家百货,餐饮具,酒壶,2098759,102920,6,Toiletries,Tableware,flagon
居家百货,餐饮具,冰夹,2098759,102920,5,Toiletries,Tableware,Ice clip
居家百货,餐饮具,飘逸杯,2098759,102920,4,Toiletries,Tableware,Elegant Cup
居家百货,餐饮具,封口膜,2098759,102920,4,Toiletries,Tableware,Sealing film
居家百货,餐饮具,磨豆机,2098759,102920,3,Toiletries,Tableware,Grinder
居家百货,餐饮具,咖啡壶,2098759,102920,3,Toiletries,Tableware,coffee pot
居家百货,餐饮具,酒杯,2098759,102920,2,Toiletries,Tableware,Wineglass
居家百货,餐饮具,杯套,2098759,102920,2,Toiletries,Tableware,Cup sets
居家百货,餐饮具,餐刀,2098759,102920,1,Toiletries,Tableware,Table knife
居家百货,家庭清洁用具/用品,垃圾袋,2098759,98730,41887,Toiletries,Household Cleaning Tools / Supplies,garbage bag
居家百货,家庭清洁用具/用品,家务手套,2098759,98730,9409,Toiletries,Household Cleaning Tools / Supplies,Housework gloves
居家百货,家庭清洁用具/用品,袖套,2098759,98730,6085,Toiletries,Household Cleaning Tools / Supplies,Cuff
居家百货,家庭清洁用具/用品,洗衣机槽清洁剂,2098759,98730,6061,Toiletries,Household Cleaning Tools / Supplies,Washing machine tank cleaners
居家百货,家庭清洁用具/用品,马桶清洁剂/洁厕剂,2098759,98730,5513,Toiletries,Household Cleaning Tools / Supplies,Toilet bowl cleaners / Toilet Bowl Cleaner
居家百货,家庭清洁用具/用品,旋转拖把,2098759,98730,5437,Toiletries,Household Cleaning Tools / Supplies,Rotating mop
居家百货,家庭清洁用具/用品,百洁布,2098759,98730,4260,Toiletries,Household Cleaning Tools / Supplies,Scouring pad
居家百货,家庭清洁用具/用品,其他,2098759,98730,3129,Toiletries,Household Cleaning Tools / Supplies,other
居家百货,家庭清洁用具/用品,胶棉拖把,2098759,98730,2903,Toiletries,Household Cleaning Tools / Supplies,Plastic cotton mop
居家百货,家庭清洁用具/用品,海绵擦,2098759,98730,2279,Toiletries,Household Cleaning Tools / Supplies,Sponge
居家百货,家庭清洁用具/用品,平板拖把,2098759,98730,1653,Toiletries,Household Cleaning Tools / Supplies,Flat mop
居家百货,家庭清洁用具/用品,抹布,2098759,98730,1563,Toiletries,Household Cleaning Tools / Supplies,rag
居家百货,家庭清洁用具/用品,围裙,2098759,98730,1326,Toiletries,Household Cleaning Tools / Supplies,apron
居家百货,家庭清洁用具/用品,刷子,2098759,98730,1096,Toiletries,Household Cleaning Tools / Supplies,brush
居家百货,家庭清洁用具/用品,消毒液,2098759,98730,1085,Toiletries,Household Cleaning Tools / Supplies,disinfectant
居家百货,家庭清洁用具/用品,垃圾桶/垃圾架,2098759,98730,820,Toiletries,Household Cleaning Tools / Supplies,Trash / garbage stand
居家百货,家庭清洁用具/用品,拖把配件,2098759,98730,666,Toiletries,Household Cleaning Tools / Supplies,Mop accessories
居家百货,家庭清洁用具/用品,扫把/扫把头,2098759,98730,585,Toiletries,Household Cleaning Tools / Supplies,Broom / broom head
居家百货,家庭清洁用具/用品,洗洁精,2098759,98730,523,Toiletries,Household Cleaning Tools / Supplies,Detergent
居家百货,家庭清洁用具/用品,玻璃清洁器及配件,2098759,98730,456,Toiletries,Household Cleaning Tools / Supplies,Glass cleaner and accessories
居家百货,家庭清洁用具/用品,钢丝球,2098759,98730,314,Toiletries,Household Cleaning Tools / Supplies,Steel balls
居家百货,家庭清洁用具/用品,鞋靴干洗剂,2098759,98730,275,Toiletries,Household Cleaning Tools / Supplies,Footwear PCE
居家百货,家庭清洁用具/用品,油污清洁剂,2098759,98730,246,Toiletries,Household Cleaning Tools / Supplies,Oil cleaners
居家百货,家庭清洁用具/用品,管道疏通剂,2098759,98730,171,Toiletries,Household Cleaning Tools / Supplies,Drain agent
居家百货,家庭清洁用具/用品,空调清洁剂,2098759,98730,164,Toiletries,Household Cleaning Tools / Supplies,Air Conditioning Cleaner
居家百货,家庭清洁用具/用品,多用途清洁剂,2098759,98730,163,Toiletries,Household Cleaning Tools / Supplies,Purpose Cleaner
居家百货,家庭清洁用具/用品,围裙袖套套装,2098759,98730,152,Toiletries,Household Cleaning Tools / Supplies,Aprons cuff suit
居家百货,家庭清洁用具/用品,脸盆,2098759,98730,110,Toiletries,Household Cleaning Tools / Supplies,washbasin
居家百货,家庭清洁用具/用品,鞋油,2098759,98730,99,Toiletries,Household Cleaning Tools / Supplies,shoe polish
居家百货,家庭清洁用具/用品,除尘掸/掸头,2098759,98730,85,Toiletries,Household Cleaning Tools / Supplies,Dust Shan / Shan head
居家百货,家庭清洁用具/用品,水垢清洁剂/除垢剂,2098759,98730,59,Toiletries,Household Cleaning Tools / Supplies,Scale cleaning agents / detergents
居家百货,家庭清洁用具/用品,地面清洁/保养剂,2098759,98730,27,Toiletries,Household Cleaning Tools / Supplies,Floor cleaning / maintenance agents
居家百货,家庭清洁用具/用品,水拖,2098759,98730,24,Toiletries,Household Cleaning Tools / Supplies,Water drag
居家百货,家庭清洁用具/用品,玻璃清洁剂,2098759,98730,21,Toiletries,Household Cleaning Tools / Supplies,Glass Cleaner
居家百货,家庭清洁用具/用品,水桶,2098759,98730,19,Toiletries,Household Cleaning Tools / Supplies,bucket
居家百货,家庭清洁用具/用品,家私清洁/护理剂,2098759,98730,16,Toiletries,Household Cleaning Tools / Supplies,Furniture cleaning / care agent
居家百货,家庭清洁用具/用品,簸箕,2098759,98730,15,Toiletries,Household Cleaning Tools / Supplies,dustpan
居家百货,家庭清洁用具/用品,墙体除霉剂,2098759,98730,6,Toiletries,Household Cleaning Tools / Supplies,Wall addition to mold agent
居家百货,家庭清洁用具/用品,桌面清洁套装,2098759,98730,6,Toiletries,Household Cleaning Tools / Supplies,Desktop Cleaning Kit
居家百货,家庭清洁用具/用品,垃圾夹,2098759,98730,5,Toiletries,Household Cleaning Tools / Supplies,Trash folder
居家百货,家庭清洁用具/用品,擦地拖鞋,2098759,98730,5,Toiletries,Household Cleaning Tools / Supplies,Clean and slippers
居家百货,家庭清洁用具/用品,洁瓷剂,2098759,98730,4,Toiletries,Household Cleaning Tools / Supplies,Clean porcelain agent
居家百货,家庭清洁用具/用品,静电除尘纸,2098759,98730,4,Toiletries,Household Cleaning Tools / Supplies,Electrostatic dust paper
居家百货,家庭清洁用具/用品,小型吸尘器,2098759,98730,3,Toiletries,Household Cleaning Tools / Supplies,Small vacuum cleaner
居家百货,家庭清洁用具/用品,布艺用品清洁剂,2098759,98730,1,Toiletries,Household Cleaning Tools / Supplies,Cleaner cloth supplies
居家百货,厨房/烹饪/烘焙用具,厨房小工具套装,2098759,33407,6152,Toiletries,Kitchen / Cooking / Baking utensils,Kitchen Tool Set
居家百货,厨房/烹饪/烘焙用具,DIY模具,2098759,33407,5937,Toiletries,Kitchen / Cooking / Baking utensils,DIY mold
居家百货,厨房/烹饪/烘焙用具,厨房置物架/角架/壁挂等,2098759,33407,3345,Toiletries,Kitchen / Cooking / Baking utensils,"Kitchen shelving / angle bracket / wall, etc."
居家百货,厨房/烹饪/烘焙用具,冰格/刨冰机,2098759,33407,2821,Toiletries,Kitchen / Cooking / Baking utensils,Lattice ice / ice machine
居家百货,厨房/烹饪/烘焙用具,厨房储物器皿,2098759,33407,2720,Toiletries,Kitchen / Cooking / Baking utensils,Kitchen storage containers
居家百货,厨房/烹饪/烘焙用具,锅,2098759,33407,2253,Toiletries,Kitchen / Cooking / Baking utensils,pot
居家百货,厨房/烹饪/烘焙用具,手动榨汁器,2098759,33407,1809,Toiletries,Kitchen / Cooking / Baking utensils,Manual Juicer
居家百货,厨房/烹饪/烘焙用具,砧板/菜板,2098759,33407,904,Toiletries,Kitchen / Cooking / Baking utensils,Chopping / cutting board
居家百货,厨房/烹饪/烘焙用具,刀具,2098759,33407,846,Toiletries,Kitchen / Cooking / Baking utensils,Tool
居家百货,厨房/烹饪/烘焙用具,刀架/锅盖架,2098759,33407,767,Toiletries,Kitchen / Cooking / Baking utensils,Tool holder / pot rack
居家百货,厨房/烹饪/烘焙用具,剥蒜器/压蒜器,2098759,33407,651,Toiletries,Kitchen / Cooking / Baking utensils,Peeling garlic / garlic press
居家百货,厨房/烹饪/烘焙用具,滤水器/净水器,2098759,33407,526,Toiletries,Kitchen / Cooking / Baking utensils,Water filter / purifier
居家百货,厨房/烹饪/烘焙用具,水果分割器,2098759,33407,423,Toiletries,Kitchen / Cooking / Baking utensils,Fruit slicer
居家百货,厨房/烹饪/烘焙用具,烘焙模具,2098759,33407,304,Toiletries,Kitchen / Cooking / Baking utensils,Baking molds
居家百货,厨房/烹饪/烘焙用具,绞肉机/碎肉宝,2098759,33407,298,Toiletries,Kitchen / Cooking / Baking utensils,Meat grinder / meat treasure
居家百货,厨房/烹饪/烘焙用具,面条机/压面机,2098759,33407,287,Toiletries,Kitchen / Cooking / Baking utensils,Pasta machine / pressing machine
居家百货,厨房/烹饪/烘焙用具,手压式饮水器,2098759,33407,265,Toiletries,Kitchen / Cooking / Baking utensils,Hand pressure drinkers
居家百货,厨房/烹饪/烘焙用具,多功能切菜机,2098759,33407,257,Toiletries,Kitchen / Cooking / Baking utensils,Multifunctional Vegetable Cutter
居家百货,厨房/烹饪/烘焙用具,蛋清分离器/打蛋器/切蛋器等,2098759,33407,251,Toiletries,Kitchen / Cooking / Baking utensils,Egg separator / Whisk / cut like egg
居家百货,厨房/烹饪/烘焙用具,锡纸/油纸,2098759,33407,246,Toiletries,Kitchen / Cooking / Baking utensils,Foil / greaseproof paper
居家百货,厨房/烹饪/烘焙用具,包饺子器,2098759,33407,245,Toiletries,Kitchen / Cooking / Baking utensils,Dumplings device
居家百货,厨房/烹饪/烘焙用具,点心包装盒/包装袋/甜点杯子,2098759,33407,211,Toiletries,Kitchen / Cooking / Baking utensils,Snack box / bag / dessert cups
居家百货,厨房/烹饪/烘焙用具,厨房秤/计量秤,2098759,33407,206,Toiletries,Kitchen / Cooking / Baking utensils,Kitchen scales / measurement scales
